  z    H2O         O3          CH4         NO2         OH         HCl
 18.3  4.3021E-06  1.7711E-06  1.3876E-06  6.5852E-10  8.1311E-14  3.9640E-10
 18.4  4.3370E-06  1.8213E-06  1.3831E-06  6.7686E-10  8.4218E-14  4.0278E-10
 18.5  4.3519E-06  1.8720E-06  1.3786E-06  6.9537E-10  8.7251E-14  4.0915E-10
 18.6  4.3483E-06  1.9234E-06  1.3740E-06  7.1405E-10  9.0412E-14  4.1549E-10
 18.7  4.3280E-06  1.9754E-06  1.3694E-06  7.3290E-10  9.3706E-14  4.2180E-10
 18.8  4.2927E-06  2.0279E-06  1.3646E-06  7.5190E-10  9.7135E-14  4.2809E-10
 18.9  4.2439E-06  2.0810E-06  1.3598E-06  7.7105E-10  1.0070E-13  4.3435E-10
 19.0  4.1834E-06  2.1347E-06  1.3548E-06  7.9034E-10  1.0441E-13  4.4057E-10
 19.1  4.1128E-06  2.1889E-06  1.3498E-06  8.0978E-10  1.0827E-13  4.4675E-10
 19.2  4.0339E-06  2.2436E-06  1.3447E-06  8.2935E-10  1.1227E-13  4.5289E-10
 19.3  3.9482E-06  2.2989E-06  1.3394E-06  8.4905E-10  1.1642E-13  4.5898E-10
 19.4  3.8574E-06  2.3547E-06  1.3341E-06  8.6886E-10  1.2073E-13  4.6502E-10
 19.5  3.7633E-06  2.4111E-06  1.3287E-06  8.8880E-10  1.2520E-13  4.7101E-10
 19.6  3.6674E-06  2.4679E-06  1.3232E-06  9.0884E-10  1.2982E-13  4.7693E-10
 19.7  3.5715E-06  2.5252E-06  1.3175E-06  9.2899E-10  1.3461E-13  4.8280E-10
 19.8  3.4771E-06  2.5830E-06  1.3118E-06  9.4924E-10  1.3957E-13  4.8860E-10
 19.9  3.3861E-06  2.6413E-06  1.3060E-06  9.6958E-10  1.4470E-13  4.9434E-10
 20.0  3.3000E-06  2.7000E-06  1.3000E-06  9.9000E-10  1.5000E-13  5.0000E-10
 20.1  3.2202E-06  2.7592E-06  1.2939E-06  1.0105E-09  1.5548E-13  5.0559E-10
 20.2  3.1469E-06  2.8188E-06  1.2878E-06  1.0311E-09  1.6115E-13  5.1110E-10
 20.3  3.0798E-06  2.8789E-06  1.2815E-06  1.0518E-09  1.6703E-13  5.1654E-10
 20.4  3.0188E-06  2.9393E-06  1.2751E-06  1.0726E-09  1.7313E-13  5.2190E-10
 20.5  2.9638E-06  3.0002E-06  1.2686E-06  1.0934E-09  1.7947E-13  5.2719E-10
 20.6  2.9145E-06  3.0614E-06  1.2620E-06  1.1144E-09  1.8606E-13  5.3242E-10
 20.7  2.8709E-06  3.1230E-06  1.2554E-06  1.1355E-09  1.9291E-13  5.3757E-10
 20.8  2.8326E-06  3.1849E-06  1.2486E-06  1.1567E-09  2.0004E-13  5.4266E-10
 20.9  2.7997E-06  3.2472E-06  1.2418E-06  1.1780E-09  2.0748E-13  5.4768E-10
 21.0  2.7718E-06  3.3098E-06  1.2349E-06  1.1994E-09  2.1522E-13  5.5263E-10
 21.1  2.7489E-06  3.3727E-06  1.2279E-06  1.2209E-09  2.2328E-13  5.5752E-10
 21.2  2.7307E-06  3.4358E-06  1.2209E-06  1.2426E-09  2.3169E-13  5.6234E-10
 21.3  2.7171E-06  3.4993E-06  1.2138E-06  1.2644E-09  2.4045E-13  5.6711E-10
 21.4  2.7079E-06  3.5630E-06  1.2066E-06  1.2863E-09  2.4958E-13  5.7181E-10
 21.5  2.7030E-06  3.6269E-06  1.1994E-06  1.3084E-09  2.5910E-13  5.7645E-10
 21.6  2.7022E-06  3.6911E-06  1.1921E-06  1.3306E-09  2.6901E-13  5.8103E-10
 21.7  2.7053E-06  3.7555E-06  1.1847E-06  1.3529E-09  2.7934E-13  5.8556E-10
 21.8  2.7121E-06  3.8201E-06  1.1774E-06  1.3754E-09  2.9010E-13  5.9003E-10
 21.9  2.7225E-06  3.8848E-06  1.1699E-06  1.3981E-09  3.0131E-13  5.9444E-10
 22.0  2.7363E-06  3.9498E-06  1.1625E-06  1.4209E-09  3.1297E-13  5.9880E-10
 22.1  2.7534E-06  4.0149E-06  1.1550E-06  1.4439E-09  3.2511E-13  6.0311E-10
 22.2  2.7735E-06  4.0801E-06  1.1475E-06  1.4671E-09  3.3773E-13  6.0736E-10
 22.3  2.7965E-06  4.1454E-06  1.1399E-06  1.4904E-09  3.5086E-13  6.1156E-10
 22.4  2.8223E-06  4.2109E-06  1.1323E-06  1.5139E-09  3.6451E-13  6.1572E-10
 22.5  2.8506E-06  4.2764E-06  1.1247E-06  1.5376E-09  3.7869E-13  6.1982E-10
 22.6  2.8814E-06  4.3420E-06  1.1171E-06  1.5614E-09  3.9342E-13  6.2388E-10
 22.7  2.9143E-06  4.4077E-06  1.1095E-06  1.5855E-09  4.0871E-13  6.2789E-10
 22.8  2.9494E-06  4.4734E-06  1.1019E-06  1.6097E-09  4.2458E-13  6.3186E-10
 22.9  2.9863E-06  4.5391E-06  1.0942E-06  1.6342E-09  4.4105E-13  6.3578E-10
 23.0  3.0249E-06  4.6049E-06  1.0866E-06  1.6588E-09  4.5812E-13  6.3966E-10
