a. Wavelength (nm)
b. Surface reflectance values for sand surface
c. Surface reflectance values for soil surface
d. Surface reflectance values for snow surface
e. Surface reflectance values for vegetation surface
f. Surface reflectance values for water surface

     a       b       c       d       e       f
 644.0   0.258   0.154   0.937   0.084   0.031
 645.0   0.258   0.155   0.937   0.084   0.031
 646.0   0.258   0.156   0.937   0.084   0.031
 647.0   0.259   0.156   0.937   0.084   0.031
 648.0   0.259   0.157   0.937   0.084   0.031
 649.0   0.260   0.157   0.937   0.084   0.031
 650.0   0.260   0.158   0.937   0.084   0.031
 651.0   0.260   0.158   0.937   0.084   0.031
 652.0   0.261   0.159   0.937   0.084   0.031
 653.0   0.261   0.159   0.937   0.084   0.031
 654.0   0.262   0.160   0.936   0.084   0.031
 655.0   0.262   0.160   0.936   0.084   0.031
 656.0   0.262   0.160   0.936   0.084   0.031
 657.0   0.263   0.161   0.936   0.084   0.031
 658.0   0.263   0.161   0.935   0.084   0.031
 659.0   0.264   0.162   0.935   0.084   0.031
 660.0   0.264   0.162   0.935   0.084   0.031
 661.0   0.264   0.162   0.935   0.084   0.031
 662.0   0.265   0.163   0.935   0.085   0.031
 663.0   0.265   0.163   0.935   0.085   0.031
 664.0   0.266   0.164   0.935   0.086   0.031
 665.0   0.266   0.164   0.934   0.086   0.031
 666.0   0.266   0.165   0.934   0.087   0.031
 667.0   0.267   0.166   0.934   0.088   0.031
 668.0   0.267   0.166   0.934   0.089   0.030
 669.0   0.268   0.167   0.934   0.091   0.030
 670.0   0.268   0.167   0.934   0.092   0.030
 671.0   0.268   0.167   0.934   0.094   0.030
 672.0   0.269   0.168   0.934   0.095   0.029
 673.0   0.269   0.168   0.933   0.097   0.029
 674.0   0.270   0.169   0.933   0.099   0.029
 675.0   0.270   0.169   0.933   0.101   0.028
 676.0   0.270   0.169   0.933   0.103   0.028
 677.0   0.271   0.170   0.933   0.105   0.028
 678.0   0.271   0.170   0.932   0.108   0.027
 679.0   0.272   0.171   0.932   0.110   0.027
 680.0   0.272   0.171   0.932   0.112   0.027
 681.0   0.272   0.171   0.932   0.114   0.027
 682.0   0.273   0.172   0.932   0.116   0.027
 683.0   0.273   0.172   0.932   0.119   0.027
 684.0   0.274   0.173   0.932   0.121   0.027
 685.0   0.274   0.173   0.931   0.123   0.027
 686.0   0.274   0.174   0.931   0.126   0.027
 687.0   0.275   0.174   0.931   0.128   0.027
 688.0   0.275   0.175   0.931   0.131   0.027
 689.0   0.276   0.175   0.931   0.134   0.027
 690.0   0.276   0.176   0.931   0.137   0.027
 691.0   0.276   0.176   0.931   0.140   0.027
 692.0   0.277   0.177   0.931   0.144   0.027
 693.0   0.277   0.177   0.931   0.147   0.027
 694.0   0.278   0.178   0.930   0.151   0.027
 695.0   0.278   0.178   0.930   0.155   0.026
 696.0   0.278   0.179   0.930   0.160   0.026
 697.0   0.279   0.179   0.930   0.164   0.026
 698.0   0.279   0.179   0.930   0.169   0.026
 699.0   0.280   0.180   0.929   0.173   0.025
 700.0   0.280   0.180   0.929   0.178   0.025
 701.0   0.280   0.180   0.929   0.183   0.025
 702.0   0.281   0.181   0.928   0.188   0.024
 703.0   0.281   0.181   0.928   0.193   0.024
 704.0   0.282   0.181   0.928   0.198   0.023
 705.0   0.282   0.181   0.928   0.203   0.023
 706.0   0.282   0.181   0.927   0.208   0.022
 707.0   0.283   0.182   0.927   0.213   0.022
 708.0   0.283   0.182   0.927   0.218   0.021
 709.0   0.284   0.182   0.926   0.222   0.020
 710.0   0.284   0.182   0.926   0.227   0.020
 711.0   0.284   0.182   0.926   0.231   0.020
 712.0   0.285   0.182   0.925   0.235   0.019
 713.0   0.285   0.183   0.925   0.239   0.019
 714.0   0.286   0.183   0.925   0.243   0.018
 715.0   0.286   0.183   0.924   0.247   0.018
 716.0   0.286   0.183   0.924   0.251   0.018
 717.0   0.287   0.183   0.924   0.255   0.018
 718.0   0.287   0.184   0.924   0.258   0.017
 719.0   0.288   0.184   0.923   0.262   0.017
 720.0   0.288   0.184   0.923   0.266   0.017
 721.0   0.288   0.184   0.923   0.270   0.017
 722.0   0.289   0.185   0.922   0.274   0.017
 723.0   0.289   0.185   0.922   0.278   0.017
 724.0   0.289   0.185   0.922   0.282   0.017
 725.0   0.290   0.185   0.922   0.287   0.016
 726.0   0.290   0.186   0.921   0.291   0.016
 727.0   0.291   0.186   0.921   0.295   0.016
 728.0   0.291   0.186   0.921   0.299   0.016
 729.0   0.291   0.187   0.920   0.304   0.016
 730.0   0.292   0.187   0.920   0.308   0.016
 731.0   0.293   0.187   0.920   0.312   0.016
 732.0   0.293   0.188   0.919   0.316   0.016
 733.0   0.294   0.188   0.919   0.320   0.015
 734.0   0.294   0.188   0.919   0.324   0.015
 735.0   0.295   0.188   0.918   0.328   0.015
 736.0   0.295   0.188   0.918   0.332   0.015
 737.0   0.296   0.189   0.918   0.336   0.015
 738.0   0.296   0.189   0.918   0.340   0.014
 739.0   0.296   0.189   0.917   0.343   0.014
 740.0   0.296   0.189   0.917   0.347   0.014
 741.0   0.296   0.189   0.917   0.350   0.014
 742.0   0.295   0.189   0.917   0.354   0.014
 743.0   0.295   0.189   0.916   0.357   0.014
 744.0   0.294   0.190   0.916   0.360   0.014
 745.0   0.293   0.190   0.916   0.363   0.013
 746.0   0.292   0.190   0.915   0.366   0.013
 747.0   0.291   0.190   0.915   0.370   0.013
 748.0   0.291   0.190   0.915   0.373   0.013
 749.0   0.290   0.191   0.914   0.376   0.013
 750.0   0.290   0.191   0.914   0.379   0.013
 751.0   0.290   0.191   0.914   0.382   0.013
 752.0   0.290   0.192   0.913   0.386   0.013
 753.0   0.290   0.192   0.912   0.389   0.013
 754.0   0.291   0.192   0.912   0.392   0.013
 755.0   0.291   0.193   0.911   0.395   0.012
 756.0   0.292   0.193   0.911   0.399   0.012
 757.0   0.292   0.194   0.910   0.402   0.012
 758.0   0.293   0.194   0.909   0.405   0.012
 759.0   0.293   0.195   0.909   0.407   0.012
 760.0   0.294   0.195   0.908   0.410   0.012
 761.0   0.295   0.195   0.907   0.412   0.012
 762.0   0.295   0.196   0.907   0.415   0.012
 763.0   0.295   0.196   0.906   0.417   0.012
 764.0   0.296   0.197   0.906   0.419   0.012
 765.0   0.296   0.197   0.905   0.421   0.012
 766.0   0.297   0.198   0.904   0.422   0.012
 767.0   0.297   0.198   0.904   0.424   0.012
 768.0   0.297   0.198   0.903   0.426   0.012
 769.0   0.298   0.199   0.903   0.427   0.012
 770.0   0.298   0.199   0.902   0.429   0.012
 771.0   0.298   0.199   0.901   0.431   0.012
 772.0   0.299   0.200   0.901   0.432   0.012
 773.0   0.299   0.200   0.900   0.434   0.012
 774.0   0.300   0.200   0.899   0.435   0.012
 775.0   0.300   0.200   0.899   0.437   0.011
 776.0   0.300   0.201   0.898   0.439   0.011
 777.0   0.301   0.201   0.897   0.440   0.011
 778.0   0.301   0.201   0.896   0.442   0.011
 779.0   0.302   0.202   0.896   0.443   0.011
 780.0   0.302   0.202   0.895   0.445   0.011
 781.0   0.302   0.202   0.894   0.447   0.011
 782.0   0.303   0.203   0.894   0.448   0.011
 783.0   0.303   0.203   0.893   0.450   0.011
 784.0   0.304   0.203   0.892   0.451   0.011
 785.0   0.304   0.204   0.892   0.453   0.011
 786.0   0.304   0.204   0.891   0.454   0.011
 787.0   0.305   0.205   0.891   0.456   0.011
 788.0   0.305   0.205   0.890   0.457   0.011
 789.0   0.306   0.206   0.890   0.459   0.011
 790.0   0.306   0.206   0.889   0.460   0.011
 791.0   0.306   0.206   0.888   0.461   0.011
 792.0   0.307   0.207   0.888   0.463   0.011
 793.0   0.307   0.207   0.887   0.464   0.011
 794.0   0.308   0.208   0.887   0.465   0.011
 795.0   0.308   0.208   0.886   0.466   0.011
 796.0   0.308   0.208   0.885   0.467   0.010
 797.0   0.309   0.209   0.885   0.468   0.010
 798.0   0.309   0.209   0.884   0.469   0.010
 799.0   0.310   0.210   0.884   0.470   0.010
 800.0   0.310   0.210   0.883   0.471   0.010
 801.0   0.310   0.210   0.882   0.472   0.010
 802.0   0.311   0.211   0.882   0.473   0.010
 803.0   0.311   0.211   0.881   0.474   0.010
 804.0   0.312   0.212   0.881   0.475   0.010
 805.0   0.312   0.212   0.880   0.476   0.010
 806.0   0.312   0.212   0.879   0.476   0.010
 807.0   0.313   0.213   0.879   0.477   0.010
 808.0   0.313   0.213   0.878   0.478   0.010
 809.0   0.314   0.214   0.878   0.479   0.010
 810.0   0.314   0.214   0.877   0.480   0.009
 811.0   0.314   0.214   0.876   0.480   0.009
 812.0   0.315   0.215   0.876   0.481   0.009
 813.0   0.315   0.215   0.875   0.482   0.009
 814.0   0.316   0.216   0.875   0.483   0.009
 815.0   0.316   0.216   0.874   0.483   0.009
 816.0   0.316   0.216   0.873   0.484   0.009
 817.0   0.317   0.217   0.873   0.485   0.009
